CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR
TQRMNORPSHLOLMCDEFNFF00852337;2024;1;1;1;41;N;7;179;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;0;2;305000;3;3;4;;3;4;152500;4;4;6;;5;5;212;1;2;98;0;0;0;Nuclear
TQRMNOPRYHKOKTCDEFNFF00856789;2024;1;1;1;41;N;7;313;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;2;0;0;0;Nuclear
TQTMNORRSHKOKTCDEFNFF00856790;2024;1;1;1;41;N;7;286;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;2;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;650000;7;7;9;;7;8;325000;8;8;9;;8;9;401;2;0;1;0;0;0;Nuclear
TQRMNORRSHKOKTCDEFNFF00856791;2024;1;1;1;41;N;7;306;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;525000;6;6;7;;6;7;175000;5;5;7;;5;6;438;2;0;3;0;0;0;Nuclear
TQRMNOQTVHKLLLCDEFNFF00856792;2024;1;1;1;41;N;7;361;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;400000;5;5;6;;5;5;200000;6;6;7;;6;7;831;1;0;2;0;0;0;Nuclear
TQRMNOSPRHLMNNCDEIIAD00854888;2024;1;1;1;1;S;32;2018;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;1;1;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;290000;3;;3;3;;2;290000;7;;7;7;;5;2564;1;0;98;0;0;0;Unipersonal
TQRMNOSPTHLMNNCDEIIAD00854889;2024;1;1;1;1;S;32;5805;1;;6;1;;1;1;1;1;;1;1;1;1;2;2;2;6;4;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Nuclear
TQRMNOTXUHKNNPCDEIIAD00856793;2024;1;1;1;1;S;32;817;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1900000;10;;10;10;;10;950000;10;;10;10;;10;1782;2;0;98;0;0;0;Nuclear
TQRMNOSQVHJLMUCDEIIAD00798163;2024;1;1;1;1;S;32;1921;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;2;2;2;0;0;0;0;2;;2;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;96;0;98;0;0;0;Nuclear
TQRMNORXVHJLNNCDEIIAD00798156;2024;1;1;1;1;S;32;2211;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;67500;1;;1;1;;1;67500;1;;1;1;;1;2655;1;0;98;0;0;0;Unipersonal
TQRMNOTYWHJLNNCDEIIAD00798157;2024;1;1;1;1;S;32;1672;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;800000;8;;7;8;;6;800000;10;;10;10;;9;2164;1;0;98;0;0;0;Unipersonal
TQRMNOPVSHMMNPCDEIIAD00801818;2024;1;1;1;1;S;32;2008;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;920000;8;;8;8;;7;460000;9;;9;9;;7;2244;1;0;2;0;0;0;Nuclear
TQRMNOSPTHKMNUCDEIIAD00856794;2024;1;1;1;1;S;32;1080;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;900000;8;;8;8;;7;900000;10;;10;10;;10;1086;1;0;98;0;0;0;Unipersonal
TQRMNOQUYHKMOLCDEIIAD00856795;2024;1;1;1;1;S;32;1070;2;;2;1;;2;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;4;electricidad;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;290000;3;;3;3;;2;290000;7;;7;7;;5;1075;1;0;98;0;0;0;Unipersonal
TQRMNOSSWHKOMMCDEFIAH00856796;2024;1;1;1;43;S;2;657;1;;2;2;;4;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;5;3;2;175000;1;1;1;1;;2;35000;1;1;1;1;;1;255;1;2;98;0;0;0;Extendido
TQRMNORQSHKOKOCDEGKDB00856797;2024;1;1;1;43;N;14;110;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;690000;7;8;7;;8;8;172500;5;5;5;;5;6;136;2;0;1;0;0;0;Nuclear
TQRMNOPYTHJLKMCDEGLDF00800047;2024;1;1;1;41;N;15;149;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;4;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;675000;7;7;9;;8;9;337500;8;8;9;;8;10;215;1;0;2;0;0;0;Nuclear
TQRMNOQUSHKLKNCDEGLDF00856798;2024;1;1;1;41;N;15;459;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;0;2;280000;3;3;4;;3;4;140000;4;4;5;;4;5;554;1;0;98;0;0;0;Nuclear
TQRMNOSPUHLMKMCDEGLDF00856799;2024;1;1;1;41;N;15;279;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;400000;4;5;6;;5;6;400000;9;9;10;;9;10;276;1;0;98;0;0;0;Unipersonal
TQSMNORUSHLKKNCDEGLDF00856800;2024;1;1;1;41;N;15;202;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;Nuclear
TQRMNOSSPHJKKQCDEGLDF00797223;2024;1;1;1;41;N;15;143;2;;4;1;;2;2;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;0;4;1050000;9;9;10;;9;10;262500;7;7;9;;7;9;166;2;0;1;3;0;0;Nuclear
TQRMNOSWTHJKKRCDEGLDF00794879;2024;1;1;1;41;N;15;145;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;509000;6;6;7;;6;7;127250;3;4;5;;4;5;163;1;2;98;0;0;0;Nuclear
TQRMNOQVUHKOKPCDEGLDF00856801;2024;1;1;1;41;N;15;147;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;350000;4;4;5;;4;5;175000;5;5;7;;5;8;172;1;0;98;0;0;0;Nuclear
TQRMNORWWHJMKSCDEFLID00798048;2024;1;1;1;43;S;5;307;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;194000;2;2;2;2;;2;194000;5;6;5;5;;6;382;1;0;96;0;0;0;Unipersonal
TQRMNOSWWHMLKRCDEFLID00803834;2024;1;1;1;43;S;5;487;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;350000;4;4;4;4;;4;350000;8;8;8;8;;8;603;1;0;98;0;0;0;Unipersonal
TQRMNOPRSHKOLRCDEHNHB00856432;2024;1;1;1;42;S;27;256;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;1;1;1;1;2;2;2;0;2;0;1;;1;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;660700;7;7;7;7;;7;330350;8;8;8;8;;9;285;1;2;98;0;0;0;Nuclear
TQSMNOPPRHMOKRCDEFNFF00804232;2024;1;1;1;41;N;7;341;2;;1;1;;4;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;Unipersonal
TQRMNOPPUHMOKRCDEFNFF00798945;2024;1;1;1;41;N;7;250;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;2;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1400000;10;10;10;;10;10;700000;10;10;10;;10;10;437;96;0;98;0;0;0;Nuclear
TQRMNOSRYHMMLLCDEGOIH00800272;2024;1;1;1;40;N;18;282;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;260000;2;3;3;;3;4;260000;7;7;9;;7;9;287;96;0;98;0;0;0;Unipersonal
TQRMNOPSVHJOLLCDEHMHF00795698;2024;1;2;1;42;N;26;514;1;;2;2;;4;2;2;1;;1;2;1;3;2;1;2;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;174300;1;1;1;;1;1;87150;2;2;2;;2;2;524;1;0;98;0;0;0;Nuclear
TQRMNORQUHLOKMCDEHGHJ00853676;2024;1;1;1;44;N;20;194;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;0;2;900000;8;9;7;;9;8;450000;9;9;8;;9;9;270;2;0;1;0;0;0;Nuclear
TQRMNORRQHKNKOCDEHGHJ00856433;2024;1;1;1;44;N;20;173;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;2;2;2;0;2;536000;6;6;5;;6;5;268000;7;7;6;;8;7;362;1;0;98;0;0;0;Nuclear
TQRMNOUSQHMOKPCDEHPJB00806507;2024;1;1;1;40;S;29;397;1;;5;1;;2;1;1;1;;1;1;1;2;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;3;0;3;377000;4;4;5;4;;5;125666,67;3;3;5;3;;5;439;1;0;2;3;0;0;Nuclear
TQRMNOSYUHKOMLCDEIJAH00856434;2024;1;1;1;1;S;33;3997;1;;4;1;;4;1;1;2;;1;1;1;1;2;2;2;4;2;1;1;1;2;2;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;6;2;4;370000;4;;4;4;;4;61666,67;1;;1;1;;1;4579;1;0;1;0;0;0;Extendido
TQRMNOPWUHKNKMCDEFOCD00856435;2024;1;1;1;41;N;8;94;1;;3;2;;4;1;1;1;;1;1;2;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;300000;3;3;4;;3;6;75000;2;2;2;;2;3;93;1;0;98;0;0;0;Nuclear
TQRMNOPRPHMNMLCDEHJGH00800741;2024;1;1;1;40;S;23;387;1;;2;1;;4;2;1;1;;1;2;1;1;1;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;0;1;193000;2;2;2;2;;2;193000;5;6;7;5;;7;403;1;0;98;0;0;0;Unipersonal
TQRMNOPUYHLOKTCDEIJAH00855618;2024;1;1;1;1;S;33;242;1;;4;2;;1;1;1;1;;1;1;1;2;2;2;2;4;2;2;0;1;1;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;650000;7;;7;7;;7;162500;5;;4;5;;5;337;1;0;98;0;0;0;Nuclear
TQRMNOTYTHMNNTCDEIIAD00801673;2024;1;1;1;1;S;32;2443;2;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;;12;12;;12;0;12;;12;12;;12;0;96;0;1;0;0;0;Unipersonal
TQRMNOPWPHMLNUCDEIIAD00801674;2024;1;1;1;1;S;32;87;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;220000;2;;2;2;;1;220000;6;;6;6;;3;78;1;0;98;0;0;0;Unipersonal
TQRMNOPTTHJNMRCDEIJAH00856436;2024;1;1;1;1;S;33;1655;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;2;2;680000;7;;7;7;;7;170000;5;;5;5;;5;2349;1;0;98;0;0;0;Nuclear
TQRMNOPWRHKLNSCDEIJAH00856437;2024;1;1;1;1;S;33;1982;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;700000;7;;7;7;;7;175000;5;;5;5;;6;3557;2;0;1;0;0;0;Nuclear
TQRMNOUYUHMMNQCDEIJAH00802175;2024;1;1;1;1;S;33;2341;1;;2;2;;4;2;1;1;;2;0;0;0;2;2;2;2;1;2;0;1;2;2;2;0;2;0;2;;2;;4;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;3;1;2;741000;8;;7;7;;8;247000;7;;6;6;;7;4425;1;0;98;0;0;0;Nuclear
TQRMNOQXYHJLOTCDEIJAH00794565;2024;1;1;1;1;S;33;2928;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;2;0;0;0;Nuclear
TQRMNORTXHJMPOCDEIJAH00794566;2024;1;1;1;1;S;33;2726;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;6;2;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;Extendido
TQRMNORTPHKMOQCDEIJAH00856438;2024;1;1;1;1;S;33;3422;1;;2;1;;4;1;1;1;;1;1;2;2;2;2;2;2;1;2;0;1;1;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;2;2;215000;2;;2;2;;2;53750;1;;1;1;;1;4981;1;2;98;0;0;0;Nuclear
TQRMNORVXHLNOTCDEIJAH00855661;2024;1;1;1;1;S;33;2138;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5;1;4;724000;7;;7;7;;8;144800;4;;4;4;;4;4829;2;3;1;0;0;0;Extendido
TQRMNOQVYHKLLNCDEOHCH00856551;2024;1;1;1;44;N;91;112;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1220000;9;10;9;;10;10;406666,67;9;9;8;;9;9;123;96;0;98;0;0;0;Nuclear
TQRMNOSSSHMOLTCDEFIAH00798239;2024;1;1;1;43;S;2;1127;1;;2;1;;4;2;2;1;;1;2;3;4;2;1;2;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;1;4;395000;4;4;4;4;;4;79000;2;2;2;2;;2;3991;1;2;98;0;0;0;Extendido
TQRMNOTQRHKMLQCDEFIAH00856552;2024;1;1;1;43;S;2;788;2;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;270000;3;3;3;3;;3;270000;7;7;7;7;;6;1510;1;0;98;0;0;0;Unipersonal
TQSMNORRPHMMKUCDEGOIH00800271;2024;1;1;1;40;N;18;441;4;;1;2;;1;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;2;;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;250000;2;3;3;;3;3;250000;7;7;8;;7;9;444;1;0;98;0;0;0;Unipersonal
TQRMNORWXHMNLNCDEGOIH00800274;2024;1;1;1;40;N;18;485;1;;4;1;;1;1;1;1;;1;1;1;2;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;470000;5;5;6;;6;7;117500;3;3;4;;3;5;491;2;0;98;0;0;0;Nuclear
TQRMNOPWQHKLLQCDEGOIH00856553;2024;1;1;1;40;N;18;207;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;1;1;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;245948;2;2;3;;3;3;49189,6;1;1;1;;1;1;217;1;0;3;0;0;0;Extendido
TQRMNOQWUHMOMNCDEIJAH00801927;2024;1;1;1;1;S;33;2871;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;5;1;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;2;5;3;0;Extendido
TQRMNOSWWHLMKNCDEFJAH00851617;2024;1;1;1;43;N;3;362;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;960000;9;9;9;;9;9;320000;8;8;8;;8;7;935;1;2;3;0;0;0;Nuclear
TQRMNORYTHMOKOCDEFJAH00798376;2024;1;1;1;43;N;3;233;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;Nuclear
TQRMNOTWTHMONOCDEIIAD00801773;2024;1;1;1;1;S;32;3391;2;;3;1;;1;1;1;1;;1;1;2;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;9;casa tomada;4;electricidad;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;226400;2;;2;2;;1;75466,67;2;;2;2;;1;5134;1;0;98;0;0;0;Nuclear
TQRMNOPPSHJNLTCDEFKID00798547;2024;1;1;1;43;S;4;601;1;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2;2;2;0;2;0;0;0;0;0;;0;0;0;0;0;0;;0;644;2;0;4;0;0;0;Nuclear
TQRMNOSSSHJMMLCDEFKID00794985;2024;1;1;1;43;S;4;750;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;750000;8;8;8;7;;8;187500;5;5;5;5;;5;1081;2;0;1;0;0;0;Nuclear
TQRMNOSPUHJOMMCDEFKID00794986;2024;1;2;1;43;S;4;980;2;;2;2;;4;2;1;1;;1;1;1;3;2;2;2;2;2;2;0;1;2;1;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;800000;8;8;8;8;;8;266666,67;7;7;7;7;;7;1508;2;0;1;3;0;0;Nuclear
TQRMNOXYXHMOMPCDEFKID00798555;2024;1;1;1;43;S;4;1008;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;2;;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;5;2;3;201000;2;2;2;2;;2;40200;1;1;1;1;;1;786;1;0;98;0;0;0;Extendido
TQRMNOVQRHMMKOCDEIHJF00801551;2024;1;1;1;44;N;31;179;2;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;600000;7;7;5;;7;5;300000;7;8;6;;8;6;199;1;2;98;0;0;0;Nuclear
TQRMNOPWRHJMMPCDEFKID00794161;2024;1;1;1;43;S;4;977;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;98;0;0;0;Unipersonal
TQRMNOPWSHJMMPCDEFKID00794162;2024;1;1;1;43;S;4;710;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;98;0;97;0;0;0;Unipersonal
TQRMNOVUXHKOKNCDEGKDB00856554;2024;1;1;1;43;N;14;176;1;;1;2;;4;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;2;2;2;0;0;0;0;1;;2;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1;2;200000;2;2;2;;2;2;66666,67;1;1;1;;1;2;173;1;0;98;0;0;0;Nuclear
TQRMNOSPSHKMKOCDEGLDF00856555;2024;1;1;1;41;N;15;249;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;2;0;0;0;Nuclear
TQRMNORRQHJLRNCDEIJAH00795846;2024;1;1;1;1;S;33;1797;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;1;1;2;2;1;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;5;1;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;Extendido
TQRMNORPTHKLLLCDEIKAH00856556;2024;1;1;1;43;S;34;678;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;97;0;97;0;0;0;Nuclear
